file	issue	source_url
2020-11.pdf	2020-11	https://slypn.org.uk/wp-content/uploads/2021/04/Newsletter-NOV-2020.pdf
2021-02.pdf	2021-02	https://slypn.org.uk/wp-content/uploads/2021/04/Newsletter-FEb-2021.pdf
2021-03.pdf	2021-03	https://slypn.org.uk/wp-content/uploads/2021/04/Newsletter-March-2021.pdf
2021-04.pdf	2021-04	https://slypn.org.uk/wp-content/uploads/2021/04/Newsletter-April-2021.pdf
2021-05.pdf	2021-05	https://slypn.org.uk/wp-content/uploads/2021/06/Newsletter-May-2021.pdf
2021-09.pdf	2021-09	https://slypn.org.uk/wp-content/uploads/2021/09/Newsletter-September-2021.pdf
2021-10.pdf	2021-10	https://slypn.org.uk/wp-content/uploads/2021/11/Newsletter-October-2021.pdf
2021-11.pdf	2021-11	https://slypn.org.uk/wp-content/uploads/2021/11/Newsletter-November-2021.pdf
2022-03.pdf	2022-03	https://slypn.org.uk/wp-content/uploads/2022/03/Newsletter-March-2022.pdf
2022-04.pdf	2022-04	https://slypn.org.uk/wp-content/uploads/2022/03/Newsletter-April-2022.pdf
2022-05.docx	2022-05	https://slypn.org.uk/wp-content/uploads/2022/05/Newsletter-May-2022.docx
2022-06.docx	2022-06	https://slypn.org.uk/wp-content/uploads/2022/07/Newsletter-June-2022.docx
2022-07.docx	2022-07	https://slypn.org.uk/wp-content/uploads/2022/07/Newsletter-July-2022.docx
2022-09.docx	2022-09	https://slypn.org.uk/wp-content/uploads/2022/10/Newsletter-September-2022.docx
2022-10.docx	2022-10	https://slypn.org.uk/wp-content/uploads/2022/10/Newsletter-October-2022.docx
2022-11.docx	2022-11	https://slypn.org.uk/wp-content/uploads/2023/01/Newsletter-November-2022.docx
2022-12.docx	2022-12	https://slypn.org.uk/wp-content/uploads/2023/01/Newsletter-December-2022.docx
2023-01.docx	2023-01	https://slypn.org.uk/wp-content/uploads/2023/01/Newsletter-January-2023.docx
2023-02.docx	2023-02	https://slypn.org.uk/wp-content/uploads/2023/04/Newsletter-February-2023.docx
2023-03.docx	2023-03	https://slypn.org.uk/wp-content/uploads/2023/04/Newsletter-March-2023.docx
2023-04.docx	2023-04	https://slypn.org.uk/wp-content/uploads/2023/04/Newsletter-April-2023.docx
